county_name,STATEICP,COUNTYICP,county_lon,county_lat
Abbeville,48,10,-82.45871554,34.22257757
Acadia,45,10,-92.41198537,30.29053878
Accomack,40,10,-75.64620215,37.76629077
Ada,63,10,-116.2410991,43.45112397
Adair,31,10,-94.47094964,41.33075457
Adair,51,10,-85.28062913,37.1041297
Adair,34,10,-92.60072681,40.19056959
Adair,53,10,-94.65869267,35.88394408
Adams,62,10,-104.3651877,39.87270545
Adams,63,30,-116.4538808,44.88965283
Adams,21,10,-91.18854089,39.98787296
Adams,22,10,-84.93665931,40.74566779
Adams,31,30,-94.69919237,41.02899113
Adams,46,10,-91.35352224,31.48294325
Adams,35,10,-98.50121549,40.52447486
Adams,36,10,-102.5285434,46.09685224
Adams,24,10,-83.4720001,38.84567052
Adams,14,10,-77.21787808,39.87146395
Adams,73,10,-118.5605186,46.98338989
Adams,25,10,-89.77064312,43.96963378
Addison,6,10,-73.14095107,44.03090221
Aiken,48,30,-81.6347947,33.54437066
Aitkin,33,10,-93.4154411,46.6082629
Alachua,43,10,-82.35734453,29.6745053
Alamance,47,10,-79.39946144,36.04405162
Alameda,71,10,-121.8860692,37.64644225
Alamosa,62,30,-105.7882977,37.57289786
Albany,13,10,-73.9735841,42.60020494
Albany,68,10,-105.7173483,41.67317871
Albemarle,40,30,-78.55613641,38.02301938
Alcona,23,10,-83.5937602,44.68542304
Alcorn,46,30,-88.58027021,34.88077762
Alexander,21,30,-89.33771072,37.19167429
Alexander,47,30,-81.17723147,35.92103693
Alexandria City,40,5100,-77.06205547,38.81936602
Alfalfa,53,30,-98.32400985,36.73098299
Alger,23,30,-86.60384836,46.40862342
Allamakee,31,50,-91.37809888,43.28429126
Allegan,23,50,-85.88841834,42.59129661
Allegany,52,10,-78.69892557,39.62148468
Allegany,13,30,-78.02756548,42.25740146
Alleghany,47,50,-81.12714482,36.49133117
Alleghany,40,50,-80.00747881,37.78737493
Allegheny,14,30,-79.98119564,40.46884228
Allen,22,30,-85.06656803,41.09087891
Allen,32,10,-95.30139746,37.8857411
Allen,51,30,-86.19042671,36.75126722
Allen,45,30,-92.8278834,30.6528661
Allen,24,30,-84.10578216,40.77152856
Allendale,48,50,-81.35820447,32.98811616
Alpena,23,70,-83.62767712,45.03481782
Alpine,71,30,-119.8206658,38.59725649
Amador,71,50,-120.6511185,38.4463983
Amelia,40,70,-77.97614065,37.33603371
Amherst,40,90,-79.1451096,37.60478202
Amite,46,50,-90.80443372,31.17439861
Anderson,32,30,-95.29333226,38.21420852
Anderson,51,50,-84.99177462,38.00362725
Anderson,48,70,-82.63787914,34.51909858
Anderson,54,10,-84.19846715,36.11845087
Anderson,49,10,-95.65255681,31.81332906
Andrew,34,30,-94.80204373,39.98349476
Andrews,49,30,-102.6378148,32.30504035
Androscoggin,2,10,-70.20639743,44.16583708
Angelina,49,50,-94.61185541,31.2547715
Anne Arundel,52,30,-76.6117314,39.00562964
Anoka,33,30,-93.24646053,45.27324212
Anson,47,70,-80.10272878,34.97383404
Antelope,35,30,-98.06669399,42.17691071
