SEA,sea_lon,sea_lat
1,-87.17925598,34.69728798
2,-86.26890169,34.39553048
3,-86.19599047,33.53818471
4,-86.8964983,33.55432188
5,-85.67653507,33.06204292
7,-87.29757009,33.35390556
8,-87.34246037,32.3901377
9,-86.20761705,32.22022674
10,-86.19242318,31.51113525
11,-87.83110048,31.33000596
13,-88.20718132,30.78975443
990,-152.3055688,64.27911559
14,-111.5989295,35.3746774
15,-112.4912481,33.34884669
16,-113.0366308,33.09955002
17,-110.6038363,32.26779241
18,-94.23517778,36.15259493
19,-92.69553937,36.03338779
20,-93.65591857,35.34367118
21,-91.78114639,35.62237375
22,-92.31180753,34.7699305
23,-93.54118334,34.52350151
24,-93.68227866,33.55914316
25,-92.40787075,33.640248
26,-90.85692863,35.6359166
27,-90.95739325,34.8791599
29,-91.56236625,33.86082709
30,-123.5430681,40.12819544
31,-122.7030978,38.52166887
32,-122.1045187,37.90411149
33,-121.6948115,37.2315996
34,-120.9279231,36.00322914
35,-122.0129263,39.57005462
36,-121.337915,38.45477432
37,-120.8398838,37.3522806
38,-121.2715848,37.934316
39,-118.9787435,35.9103073
40,-119.6503959,36.75841556
41,-119.6410594,34.5859151
42,-118.1495119,34.22225771
43,-116.7330246,33.03583969
44,-116.1785819,34.84118763
45,-115.7560007,33.47720407
46,-120.3616023,39.3705723
47,-107.1261252,39.60679553
48,-107.4797223,37.96029998
50,-104.3285557,40.5602715
51,-103.2642251,39.30808892
52,-104.6111378,39.73129939
53,-103.8896149,37.77447587
54,-73.2453167,41.7925035
55,-73.38902577,41.27310641
56,-72.93233572,41.41085645
57,-72.73284283,41.80641701
58,-72.20356271,41.649107
59,-75.46404041,38.82602438
60,-75.65322684,39.57644642
61,-77.01496019,38.90991264
62,-85.84632599,30.44130273
63,-82.43363833,29.83224996
64,-81.67214342,30.33076243
65,-83.53191666,30.31691367
66,-80.90498381,28.46943142
67,-81.74621308,28.28498451
68,-82.39627312,27.93036802
69,-81.14633795,26.59104887
70,-80.56842889,25.61452944
71,-85.05840535,34.46980401
72,-84.10098394,32.50432014
73,-84.00039909,34.71116176
74,-84.20327456,34.01897492
75,-84.44323737,33.83123175
76,-83.98106806,33.52185378
77,-83.40409828,33.25726171
79,-84.82921379,32.42333559
80,-82.07356808,33.35964624
81,-82.49014119,32.59730491
83,-84.06769291,31.47701024
84,-82.77106864,31.64321979
85,-81.98048073,31.31063238
86,-81.13839501,32.00926247
991,-156.3553049,20.25197599
87,-115.0107687,45.18771874
88,-116.6763214,46.98718103
89,-116.314571,43.07494991
90,-114.1157645,42.56553329
91,-111.9628992,43.11472821
92,-89.56285216,42.01582327
93,-90.56741879,41.46736109
94,-89.16089952,42.33630779
95,-88.56953086,42.3240076
96,-88.01979004,41.82444779
97,-90.28956909,40.91175754
98,-90.43388813,39.56648776
99,-88.48115298,41.31076062
100,-89.3817597,39.83325179
101,-89.63443121,40.64517909
102,-89.6589462,39.75822536
103,-88.33342819,40.31135458
104,-89.3796188,38.6098419
105,-89.91623692,38.65897229
106,-88.43712983,38.66957475
107,-87.93178704,38.59874464
108,-88.94718533,37.99813721
109,-89.01528845,37.46777771
110,-86.5553232,41.53810629
111,-87.38175572,41.41559399
112,-86.28982038,41.61666636
113,-86.59359489,41.12985746
114,-86.78956584,40.40652311
115,-85.23487977,41.07708803
116,-85.06653287,41.09084881
117,-85.40053208,40.11690399
118,-86.06712859,39.69793606
119,-86.13841986,39.78162018
120,-87.20919267,38.76989626
121,-87.58574289,38.02543754
122,-86.45746238,38.58837742
123,-85.41665739,39.00828936
124,-85.76363034,38.43273122
125,-95.66670563,42.75519323
126,-95.41809842,41.46649466
127,-96.04486637,42.38973357
128,-92.55599469,42.81798229
129,-94.63740726,43.20455951
130,-93.95643502,42.35702964
131,-93.57344691,41.68548696
132,-94.13621991,41.24692403
133,-93.01660897,40.86107833
135,-92.40169204,41.72159597
136,-91.1202504,41.74542826
137,-90.62323074,41.63710185
138,-100.7898568,37.80408824
139,-100.1726652,38.76708786
140,-98.46862567,39.4568386
141,-97.87123937,37.78584799
142,-97.46111121,37.68479358
143,-97.37615926,38.95641681
145,-96.49883212,38.21097228
146,-95.52956855,39.42490832
147,-94.80819965,38.94045873
148,-95.29366728,38.24817372
149,-95.30307666,37.35632764
150,-88.6970601,36.79006699
151,-87.50005811,37.6686456
152,-87.12787437,37.3673575
153,-85.80583436,37.59736342
154,-86.94937555,36.8856502
155,-85.08619235,37.0275785
156,-84.68950202,38.2177578
157,-85.65948763,38.18713575
158,-84.45743579,38.93984212
159,-84.34082322,38.12788928
160,-83.4450942,37.85714975
162,-83.24601609,37.19749257
163,-93.04071662,31.79351079
164,-93.88224458,32.58007311
165,-91.64056402,32.23833124
166,-92.01910485,30.73722403
167,-92.65638155,32.30042435
168,-90.38991858,30.40212235
169,-89.82050952,29.85658432
170,-91.07304362,29.82875153
171,-92.85925637,30.11846452
172,-93.42412812,31.28588091
173,-69.32052502,45.77506378
175,-68.26829922,44.74051882
176,-70.20739183,43.97931221
177,-70.41803318,43.85990647
178,-79.04608793,39.56538921
179,-77.14643911,39.51029138
180,-76.62940486,39.28066765
181,-77.02808355,38.98747164
182,-76.7687383,38.44540533
183,-75.97758078,39.12699527
184,-75.70038135,38.32020836
185,-72.9393994,42.46298825
186,-72.64653214,42.230028
187,-71.90774592,42.35140685
188,-71.21853524,42.46105624
189,-70.34764075,41.62485127
190,-70.8124934,41.95096246
191,-71.11489389,41.80111298
192,-88.54840564,46.55210188
193,-85.98780492,46.13828479
194,-86.0072222,44.31778116
195,-85.28760264,44.41475333
196,-84.15601471,44.67264077
197,-84.65528274,43.49938684
198,-84.05316969,43.33497625
199,-83.06960171,43.56806246
200,-85.93232744,42.74167121
201,-85.54926366,43.03221967
202,-86.15211546,43.29114612
203,-86.20813861,42.10858682
204,-84.29891175,42.75648485
205,-83.70675731,43.02169529
206,-84.37359805,42.59709775
207,-83.33448541,42.41526447
208,-83.24598658,42.55365527
209,-84.50891201,41.89855777
210,-85.41305631,42.18732758
211,-85.53115946,42.24544062
212,-96.32301202,47.94740049
213,-93.66564309,47.57935481
214,-92.47108003,47.60414907
215,-95.49859153,46.52227975
216,-93.45506838,45.87928065
217,-95.66314737,45.15636782
218,-93.40877738,44.69230164
219,-93.25152898,44.96501125
220,-93.36455673,43.99144385
221,-95.37125214,43.92129775
222,-90.60704927,33.66214832
223,-89.91438078,33.79633828
224,-90.84260253,31.59856786
225,-90.44279844,32.26671796
226,-88.8763233,34.44335915
227,-88.65819346,33.66265539
228,-89.64511705,32.15074251
229,-88.89836452,32.48843077
230,-89.11592913,31.02670523
231,-89.01949031,30.49953988
232,-93.410333,38.2105604
233,-94.37597216,39.12924015
234,-93.41545691,40.05335274
235,-91.84638825,39.48180512
236,-93.89824976,38.23387704
237,-94.11881585,36.90929688
238,-92.26368464,38.02907973
239,-90.91568854,38.14737467
240,-90.54843566,38.7112105
242,-90.98010103,37.20984947
243,-90.02727275,36.84901787
244,-89.72158885,36.47038056
245,-114.5155328,47.69982278
246,-112.0896908,45.96377713
247,-111.0357158,47.74412879
248,-107.0569499,48.09359769
249,-107.291247,46.08615934
251,-101.2386211,41.7107119
253,-99.64251685,41.17057659
254,-97.8400739,42.01543565
256,-97.58527467,40.67073386
257,-96.75514451,42.09629668
258,-96.26743946,40.54928562
259,-96.68776591,40.78409151
260,-96.1365341,41.21865385
261,-116.6554106,39.35647347
262,-71.54734068,44.08507996
263,-71.59944452,43.11915269
264,-71.71600901,42.91531224
265,-74.60514846,40.67929017
266,-75.16782386,40.24093023
267,-74.39896116,40.75120008
268,-74.70115503,40.2836353
269,-74.67552061,39.58275822
270,-74.827259,39.8252571
271,-74.67559985,39.4820823
273,-108.129015,35.14713836
274,-106.4678386,36.15909741
275,-104.3690132,35.38304565
276,-106.12057,32.95933893
277,-77.50251844,43.19369669
278,-78.73433508,42.9093825
279,-77.69590067,43.14643958
280,-77.62906641,42.78766444
281,-78.69975492,42.24481437
282,-76.92939547,42.27766839
283,-76.12611424,43.03951909
284,-76.19464974,43.00581204
285,-74.47435753,43.44349219
286,-75.18133321,43.33742808
287,-75.04591268,42.43624682
288,-75.81962227,42.16022422
289,-74.69205352,44.31888301
290,-73.71778336,43.33576591
291,-73.76698407,42.68512219
292,-74.16504806,41.83296743
293,-73.39117575,40.91638664
294,-82.81412837,35.61013108
295,-82.53018402,35.61118531
296,-80.20731108,36.16495786
298,-80.25626394,36.13043518
299,-79.78900247,36.0793956
300,-79.83696405,35.67907383
301,-80.69568155,35.59006391
302,-81.13347829,35.22018033
303,-80.83278935,35.24682388
304,-78.46740726,35.54023841
305,-78.6503553,35.79008359
306,-77.06463489,36.17377455
307,-77.73381416,35.62675521
308,-79.26546464,34.96293983
309,-76.33403177,35.7920469
310,-77.8192372,34.65067416
311,-102.0081211,47.18126791
314,-99.97355528,48.41422406
315,-98.35324645,46.8608422
317,-97.43201722,47.83424164
318,-84.0614687,41.29805261
319,-83.65930826,41.61978479
320,-83.53995012,40.53326305
321,-83.84644096,39.8881951
322,-83.0093545,39.96956627
323,-84.10128454,39.72476233
324,-84.57551854,39.43862608
325,-82.42509565,41.25052559
326,-81.51693433,41.51599083
327,-82.1069114,40.82458063
328,-80.94200804,41.31090731
329,-81.53211632,41.12595742
330,-81.36592203,40.81387038
331,-80.76637296,41.19658365
332,-82.56251657,40.17056029
333,-81.63686056,40.18932425
334,-80.89002882,40.17561437
335,-83.57605819,39.0850485
336,-84.5426406,39.1954693
337,-82.68028599,39.05598184
339,-81.65289281,39.48973145
340,-100.2356625,36.45175213
341,-97.91666525,36.3169029
342,-95.77612441,36.61761266
343,-95.94143364,36.12110177
344,-98.86490255,34.88135823
345,-97.11593468,35.51519872
346,-97.40721575,35.55150326
347,-96.4212416,35.21249253
348,-97.38390394,34.27129017
349,-95.46287826,35.04935724
350,-95.40092811,35.55014365
352,-95.23243135,34.56683305
353,-123.8452586,44.23350135
354,-123.104133,42.87476511
355,-122.5916943,45.1352657
356,-122.4593634,45.33140391
357,-122.8569873,44.22335564
358,-119.3990384,43.90668454
360,-80.16488255,41.50651338
361,-80.03215541,41.9916623
362,-80.25771957,41.30218036
363,-79.33914912,41.40173545
364,-76.63254742,41.74156042
365,-75.60919085,41.43702132
366,-77.76401499,41.37328787
367,-78.91474175,40.97337438
368,-79.88899543,39.89211266
369,-79.93612898,40.3688694
370,-78.90475923,40.1777554
371,-77.80104902,40.47927792
372,-78.34862966,40.48126113
373,-75.91911722,40.97719899
374,-75.98889761,41.17713956
375,-77.28511221,40.00663326
376,-77.02034105,40.29058663
377,-76.7265189,39.91992848
378,-76.24773711,40.04237295
379,-75.92604142,40.41638405
380,-75.44411898,40.68645011
381,-75.41439558,40.12743892
382,-71.55507213,41.67566355
384,-82.91874423,34.81139997
385,-82.2340004,34.64394396
386,-81.23672463,34.8184475
387,-81.79314177,34.1337235
388,-80.66449782,34.30486842
389,-80.90305026,34.021786
390,-80.62738517,33.6329102
391,-79.41623648,33.94049912
392,-80.29155831,32.95768267
393,-79.95909963,32.83649574
394,-81.63484605,33.54434434
395,-102.0899585,44.43326522
396,-98.91342648,45.10152605
398,-97.82095753,43.87298748
402,-89.25414816,35.70569444
403,-89.89560665,35.18369726
404,-88.38461079,35.7722408
405,-87.63047658,35.7657797
406,-86.93658742,36.45752285
407,-86.62691512,35.66641521
408,-86.78480318,36.16937996
409,-85.73257254,35.95476935
410,-85.09989554,35.84804145
411,-84.33317627,35.66020622
412,-85.16481353,35.18087996
